product_name,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date,sales_growth,product_id_09728c35-ae6c-4ac6-a7b4-eff32b3574c3,product_id_0985f295-bb82-484f-9cab-76637e8e8bdb,product_id_0bd5bf2b-be0a-4ba0-aa92-059021b169e3,product_id_0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,product_id_10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,product_id_1c48eb53-85bc-4b76-92ef-97d240a8a227,product_id_28f45387-03b8-48f9-b67c-d921d29f60b6,product_id_3b5d009c-ae38-4a53-9c94-f1853d67f882,product_id_3b87981b-375b-494a-9b11-00bf7144143a,product_id_403d5331-41ba-4a1a-86d2-e1599b965c1b,product_id_4a0f8862-c851-4073-bc17-3a3d93834902,product_id_57ad2178-9598-4981-b0f7-78a91162821e,product_id_5feb3ab1-f866-4401-b84a-d4d4d6168c8f,product_id_6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,product_id_7ba3ccef-363a-40c5-9bbd-a451068846c5,product_id_857e56ee-a962-479e-99f0-983999e858bd,product_id_8a279b7d-f76f-44c1-8df6-e7db17a391d6,product_id_8dc0c292-d59b-4692-bcc4-2003c0177ea7,product_id_8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,product_id_921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,product_id_9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,product_id_b12c721e-8301-4b08-8ac3-d435be9b8b32,product_id_be996df6-1780-4352-8b7d-1f927279aa49,product_id_c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,product_id_c81f400e-c19f-417f-99fb-039a19506e85,product_id_dd7f2ac0-a03a-487d-bf43-96d8415c3a60,product_id_e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,product_id_f0fa3446-1398-417a-bda7-de131121a15b,category_Dairy,category_Fruits,category_Grains,category_Livestock,category_Vegetables
Lamb,14.1,19224,14905,4319,Organic Meats Co.,"O'Reillyboro, OR",2022-07-04,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Beef,11.37,29504,4550,24954,Organic Meats Co.,"Lake Nora, AR",2023-10-21,1.053484602917342,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Oranges,2.59,1838,1722,116,Berry Fields,"East Friedaside, NM",2023-12-24,0.06900697283000722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Milk,1.34,6750,1232,5518,Fresh Dairy Farms,"East Javon, FL",2023-12-25,10.620689655172415,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bananas,1.78,48729,47020,1709,Golden Orchards,"Lake D'angelo, MN",2023-06-20,8.5212033345415,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Potatoes,0.92,22600,11477,11123,Nature's Best Produce,"Danielville, FL",2023-01-22,6.71562317144529,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Potatoes,0.86,14543,5208,9335,Fresh Harvest Co.,"Bridgettown, IA",2023-09-06,0.4682190056639396,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Pork,7.08,8442,7570,872,Ranchers Pride,"Shainafurt, PA",2022-11-14,0.8109266202463846,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,0.99,23374,7546,15828,Midwest Grains Co.,"New Bruceton, AL",2023-12-12,8.653669724770642,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Milk,1.09,41999,36611,5388,Happy Cows Dairy,"Effertzchester, CO",2022-01-02,2.313052817791256,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beef,11.69,5059,585,4474,Prime Meats LLC,"Port Furmanville, AZ",2023-10-23,0.10857461024498886,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Butter,5.99,38660,1689,36971,Fresh Dairy Farms,"Tracy, TX",2022-03-27,0.37751452838623156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Peppers,2.26,30469,19448,11021,Nature's Best Produce,"East Myron, IL",2023-01-10,0.5260339184766438,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Butter,4.58,24551,9745,14806,Dairyland Co-op,"Dachmouth, CO",2023-07-17,0.8842210325741766,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Apples,2.74,4160,1553,2607,Orchard Lane Farms,"Lulaworth, KS",2022-06-21,0.10488990949615021,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Rye,1.0,45191,16574,28617,Organic Grain Collective,"Braunworth, DE",2023-09-26,6.3574990410433445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Cheese,8.89,3352,1117,2235,Dairyland Co-op,"South Katelin, IN",2022-08-22,0.03903274277527344,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blueberries,4.84,23658,14713,8945,Golden Orchards,"Carrieview, NY",2023-06-02,6.582997762863535,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Oats,0.79,26667,21168,5499,Farmers Grain Union,"Port Georgette, KY",2022-05-09,2.366461710452767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Corn,0.64,18652,1094,17558,Midwest Grains Co.,"Kosschester, GA",2023-08-30,0.19894526277505,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
